step, bsf, mean_fitness, std_fitness, min_fitness, max_fitness, sq_disance_diversity
0, 39.409013019489144, -2.712067109120997, 7.227810867659102, -6.790097235513905, 39.409013019489144, 1.754435653604956e+16
1, 13.009567413221264, -3.2134754945887454, 5.273325921595092, -6.276212639346384, 13.009567413221264, 1.6760897023531268e+16
2, -4.624972813284271, -5.386317094394752, 0.49889266775510266, -6.173786103901937, -4.624972813284271, 1.6045110128097928e+16
3, -4.624972813284271, -5.105959155696101, 0.5890514656826458, -6.091309882077698, -4.624972813284271, 1.5121318635667424e+16
4, -4.624972813284271, -4.72775590347231, 0.22416457930836886, -5.337538079701318, -4.624972813284271, 8702231728503303.0
5, -4.624972813284271, -4.628831334618934, 0.02194048106685195, -4.7535901911063645, -4.624972813284271, 914236476889291.0
6, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.1124377899790764e-14
7, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.282372043112563e-14
8, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.7453212246664874e-14
9, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.300397116453661e-14
10, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.647785075767304e-14
11, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.468568641239447e-14
12, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.730985693512455e-14
13, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.1884209531493203e-14
14, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.0985307189953006e-14
15, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.6158959448342834e-14
16, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.574494424265011e-14
17, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.226978678471425e-14
18, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.980454680862016e-14
19, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.1014229753941385e-14
20, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.1442824405671265e-14
21, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.166760731208783e-14
22, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 4.2994165590382286e-14
23, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.3554731216205645e-14
24, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.363396174182677e-14
25, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.493933204145197e-14
26, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.409757754048153e-14
27, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.441531958574816e-14
28, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2.9283412483310995e-14
29, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.792852269897052e-14
30, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3.610614112279797e-14
