step, bsf, mean_fitness, std_fitness, min_fitness, max_fitness, sq_disance_diversity
0, 38.7158658389292, -1.4919426048120243, 8.897322631386633, -6.543911845564792, 38.7158658389292, 1.7553657331932276e+16
1, -4.624972813284271, -4.988827361996996, 0.3466117093696986, -5.583496308781699, -4.624972813284271, 3493119617097220.5
2, -4.624972813284271, -4.634981793680947, 0.04903378963474771, -4.875197323201151, -4.624972813284271, 13919287496582.574
3, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1155190119.366052
4, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 4813182.549113182
5, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 4072613.2083498146
6, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2869296.419670451
7, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2914063.7954615476
8, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2700349.5945672262
9, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3245488.1024323343
10, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3221871.226149705
11, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3311189.925395091
12, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3054177.7182776527
13, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2946188.5270408904
14, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2499532.3826340334
15, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2223495.3414720763
16, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3179797.60818262
17, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2296167.0013943827
18, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2859292.014443462
19, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 5379016.907247808
20, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2872332.342001944
21, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3489674.8047166327
22, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2947662.228348886
23, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2510824.1957406793
24, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2206357.545466413
25, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3614331.4607726038
26, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2587709.8177209473
27, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3977434.941275648
28, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2631394.2917587142
29, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3170587.2896322594
30, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2372725.8001551987
31, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2623205.7716769506
32, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1881430.4136995801
33, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2747726.994550791
34, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1860169.852275706
35, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1588012.5659944143
36, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1668367.8843657828
37, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3806528.030176934
38, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2798382.5873979186
39, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1405403.6717716597
40, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3901181.3237753324
41, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2054589.0974516186
42, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 3138762.3078575926
43, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 6210353.832125894
44, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 964609.8411718315
45, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1000880.2920904414
46, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 2635745.447895081
47, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 1037359.4811642678
48, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 939081.691408945
49, -4.624972813284271, -4.624972813284272, 8.881784197001252e-16, -4.624972813284271, -4.624972813284271, 879669.9739207488
